221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-4.345519E-03,+1.952620E+00,+2.699300E+01,+1.533500E+01,+1.363300E+01,+2.906000E+01,+1.908500E+01,+1.906200E+01
-3.807443E-03,+1.943252E+00,+2.700700E+01,+1.534200E+01,+1.364300E+01,+2.906300E+01,+1.908200E+01,+1.907000E+01
-1.007249E-02,+1.948498E+00,+2.701900E+01,+1.534500E+01,+1.364200E+01,+2.906400E+01,+1.908200E+01,+1.906600E+01
-7.995068E-03,+1.945172E+00,+2.703300E+01,+1.534700E+01,+1.364600E+01,+2.907100E+01,+1.908300E+01,+1.906700E+01
-5.304692E-03,+1.948966E+00,+2.703300E+01,+1.534900E+01,+1.364500E+01,+2.907600E+01,+1.908200E+01,+1.906600E+01
-4.209823E-03,+1.947561E+00,+2.705100E+01,+1.535500E+01,+1.364600E+01,+2.908000E+01,+1.908300E+01,+1.907000E+01
-6.268551E-03,+1.954306E+00,+2.704600E+01,+1.535400E+01,+1.364800E+01,+2.908600E+01,+1.908200E+01,+1.906800E+01
-6.189012E-03,+1.946671E+00,+2.706000E+01,+1.536000E+01,+1.365100E+01,+2.909000E+01,+1.908500E+01,+1.907300E+01
-9.094602E-03,+1.950090E+00,+2.706100E+01,+1.535800E+01,+1.364800E+01,+2.909800E+01,+1.908400E+01,+1.907500E+01
-8.612682E-03,+1.943627E+00,+2.706800E+01,+1.536100E+01,+1.364700E+01,+2.910000E+01,+1.908700E+01,+1.907600E+01
-5.150279E-03,+1.950137E+00,+2.708000E+01,+1.536600E+01,+1.365000E+01,+2.910400E+01,+1.908700E+01,+1.907900E+01
-7.363401E-03,+1.950278E+00,+2.708600E+01,+1.536800E+01,+1.365300E+01,+2.910900E+01,+1.908400E+01,+1.908000E+01
-7.971665E-03,+1.938989E+00,+2.708100E+01,+1.536500E+01,+1.365500E+01,+2.911300E+01,+1.908400E+01,+1.908200E+01
-6.207712E-03,+1.945688E+00,+2.709400E+01,+1.537200E+01,+1.365700E+01,+2.911700E+01,+1.908200E+01,+1.908300E+01
-4.476529E-03,+1.945313E+00,+2.709900E+01,+1.537200E+01,+1.365700E+01,+2.911800E+01,+1.908300E+01,+1.908300E+01
-4.836807E-03,+1.939270E+00,+2.710300E+01,+1.537400E+01,+1.365500E+01,+2.912200E+01,+1.908000E+01,+1.908500E+01
-6.179643E-03,+1.937491E+00,+2.710000E+01,+1.537500E+01,+1.365200E+01,+2.912200E+01,+1.907700E+01,+1.908400E+01
-4.481194E-03,+1.940957E+00,+2.711100E+01,+1.538000E+01,+1.365400E+01,+2.912300E+01,+1.907900E+01,+1.908000E+01
-3.040100E-03,+1.945172E+00,+2.710900E+01,+1.537800E+01,+1.365400E+01,+2.912000E+01,+1.907600E+01,+1.908100E+01
-6.923584E-03,+1.945875E+00,+2.711000E+01,+1.538100E+01,+1.365500E+01,+2.912000E+01,+1.907200E+01,+1.907800E+01
-2.745308E-03,+1.955477E+00,+2.712000E+01,+1.537900E+01,+1.365100E+01,+2.911700E+01,+1.907000E+01,+1.908200E+01
-3.732570E-03,+1.940722E+00,+2.711600E+01,+1.537700E+01,+1.364800E+01,+2.911700E+01,+1.906800E+01,+1.907900E+01
-4.205139E-03,+1.947561E+00,+2.712800E+01,+1.538200E+01,+1.365100E+01,+2.911800E+01,+1.906700E+01,+1.907800E+01
