221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-4.280013E-03,+1.960207E+00,+2.673400E+01,+1.612700E+01,+1.450600E+01,+3.510500E+01,+2.398700E+01,+1.952800E+01
-3.821477E-03,+1.957772E+00,+2.672900E+01,+1.612500E+01,+1.450800E+01,+3.510800E+01,+2.398400E+01,+1.953000E+01
-4.925696E-03,+1.958849E+00,+2.672900E+01,+1.612800E+01,+1.450600E+01,+3.511000E+01,+2.398700E+01,+1.952700E+01
-6.862763E-03,+1.960910E+00,+2.673900E+01,+1.612700E+01,+1.451100E+01,+3.511000E+01,+2.398700E+01,+1.952600E+01
-7.209006E-03,+1.958287E+00,+2.673400E+01,+1.613000E+01,+1.450900E+01,+3.510800E+01,+2.399000E+01,+1.952700E+01
-5.122211E-03,+1.966437E+00,+2.673300E+01,+1.612100E+01,+1.450700E+01,+3.510900E+01,+2.398600E+01,+1.952800E+01
-3.012013E-03,+1.960723E+00,+2.673800E+01,+1.612500E+01,+1.451200E+01,+3.511000E+01,+2.398800E+01,+1.953100E+01
-8.364696E-03,+1.958053E+00,+2.673600E+01,+1.612400E+01,+1.451200E+01,+3.510700E+01,+2.398700E+01,+1.953000E+01
-4.485878E-03,+1.965828E+00,+2.673200E+01,+1.612500E+01,+1.450900E+01,+3.510800E+01,+2.398600E+01,+1.953000E+01
-2.913774E-03,+1.957959E+00,+2.673700E+01,+1.612500E+01,+1.450700E+01,+3.510900E+01,+2.398700E+01,+1.953200E+01
-5.037988E-03,+1.966296E+00,+2.673500E+01,+1.612300E+01,+1.451100E+01,+3.510900E+01,+2.399000E+01,+1.953100E+01
-5.693039E-03,+1.963252E+00,+2.672900E+01,+1.612400E+01,+1.451100E+01,+3.511200E+01,+2.398800E+01,+1.953300E+01
-6.914233E-03,+1.968451E+00,+2.673300E+01,+1.612600E+01,+1.451400E+01,+3.510900E+01,+2.399100E+01,+1.953500E+01
-4.382936E-03,+1.968217E+00,+2.673600E+01,+1.612600E+01,+1.451600E+01,+3.511100E+01,+2.399300E+01,+1.953900E+01
-7.779834E-03,+1.965500E+00,+2.673400E+01,+1.612500E+01,+1.452000E+01,+3.511100E+01,+2.399300E+01,+1.954500E+01
-5.052022E-03,+1.963205E+00,+2.674000E+01,+1.612800E+01,+1.452700E+01,+3.511300E+01,+2.399400E+01,+1.954800E+01
-7.274512E-03,+1.970606E+00,+2.673300E+01,+1.612700E+01,+1.452700E+01,+3.511600E+01,+2.399200E+01,+1.955000E+01
-3.306786E-03,+1.954259E+00,+2.673400E+01,+1.612700E+01,+1.452600E+01,+3.511300E+01,+2.399500E+01,+1.955300E+01
-4.906977E-03,+1.974868E+00,+2.674100E+01,+1.613000E+01,+1.452900E+01,+3.511700E+01,+2.399700E+01,+1.955500E+01
-6.418261E-03,+1.969669E+00,+2.673900E+01,+1.613000E+01,+1.453000E+01,+3.511700E+01,+2.399600E+01,+1.955700E+01
-4.897627E-03,+1.954118E+00,+2.673600E+01,+1.613100E+01,+1.452900E+01,+3.511800E+01,+2.399500E+01,+1.955900E+01
-7.049928E-03,+1.960535E+00,+2.673800E+01,+1.613200E+01,+1.453200E+01,+3.512000E+01,+2.399700E+01,+1.955900E+01
-5.585432E-03,+1.959130E+00,+2.673800E+01,+1.613400E+01,+1.453600E+01,+3.512200E+01,+2.400200E+01,+1.956200E+01
-7.143502E-03,+1.972292E+00,+2.674200E+01,+1.613600E+01,+1.453700E+01,+3.512400E+01,+2.399900E+01,+1.956100E+01
-7.176254E-03,+1.968404E+00,+2.673800E+01,+1.613500E+01,+1.453800E+01,+3.512400E+01,+2.399900E+01,+1.955900E+01
-2.140114E-04,+1.959833E+00,+2.673900E+01,+1.613400E+01,+1.453500E+01,+3.512300E+01,+2.399900E+01,+1.956200E+01
-6.128172E-03,+1.968498E+00,+2.674000E+01,+1.613200E+01,+1.454100E+01,+3.512800E+01,+2.400100E+01,+1.956000E+01
-3.657715E-03,+1.969528E+00,+2.674700E+01,+1.614000E+01,+1.453600E+01,+3.513100E+01,+2.400500E+01,+1.955600E+01
-7.531848E-03,+1.962690E+00,+2.674200E+01,+1.613600E+01,+1.454000E+01,+3.512800E+01,+2.400000E+01,+1.955500E+01
-3.765322E-03,+1.952338E+00,+2.674700E+01,+1.613700E+01,+1.453800E+01,+3.513200E+01,+2.400400E+01,+1.955300E+01
