221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
+3.383915E-02,+2.768877E+00,+2.659900E+01,+1.675300E+01,+1.412300E+01,+3.464100E+01,+2.487400E+01,+1.888900E+01
+3.180849E-02,+2.767425E+00,+2.660600E+01,+1.670900E+01,+1.409100E+01,+3.467100E+01,+2.487100E+01,+1.887100E+01
+3.551420E-02,+2.756231E+00,+2.660400E+01,+1.666200E+01,+1.406600E+01,+3.470300E+01,+2.486400E+01,+1.885100E+01
+2.856132E-02,+2.824381E+00,+2.660400E+01,+1.661700E+01,+1.403600E+01,+3.473000E+01,+2.485700E+01,+1.883500E+01
+1.656924E-02,+2.910470E+00,+2.660400E+01,+1.657700E+01,+1.400100E+01,+3.475600E+01,+2.484900E+01,+1.882500E+01
+1.937195E-02,+2.943632E+00,+2.660200E+01,+1.652900E+01,+1.398400E+01,+3.478300E+01,+2.484300E+01,+1.880300E+01
+1.213831E-02,+2.991220E+00,+2.660000E+01,+1.649600E+01,+1.395800E+01,+3.480400E+01,+2.483200E+01,+1.878700E+01
+1.112767E-02,+3.016092E+00,+2.661200E+01,+1.645800E+01,+1.393800E+01,+3.483200E+01,+2.482600E+01,+1.877100E+01
+8.587022E-03,+3.060963E+00,+2.661500E+01,+1.642200E+01,+1.392100E+01,+3.485300E+01,+2.481600E+01,+1.875600E+01
+6.757563E-03,+3.080167E+00,+2.661700E+01,+1.639200E+01,+1.390700E+01,+3.486600E+01,+2.480700E+01,+1.873700E+01
+5.597189E-03,+3.106350E+00,+2.661600E+01,+1.636600E+01,+1.389600E+01,+3.488200E+01,+2.479700E+01,+1.873000E+01
+2.588656E-03,+3.132533E+00,+2.660600E+01,+1.634000E+01,+1.388800E+01,+3.490200E+01,+2.478600E+01,+1.871400E+01
+3.388752E-03,+3.133516E+00,+2.661200E+01,+1.631200E+01,+1.386700E+01,+3.492400E+01,+2.477400E+01,+1.869500E+01
+2.874061E-03,+3.140120E+00,+2.661900E+01,+1.629200E+01,+1.386300E+01,+3.494400E+01,+2.476300E+01,+1.868600E+01
+6.135264E-03,+3.125788E+00,+2.661800E+01,+1.627000E+01,+1.385200E+01,+3.496300E+01,+2.475300E+01,+1.867100E+01
-7.831631E-05,+3.132767E+00,+2.661500E+01,+1.624800E+01,+1.384500E+01,+3.498000E+01,+2.474600E+01,+1.865200E+01
+3.243708E-03,+3.125085E+00,+2.661800E+01,+1.622800E+01,+1.383800E+01,+3.499600E+01,+2.473000E+01,+1.863800E+01
+3.575899E-03,+3.119418E+00,+2.661800E+01,+1.620900E+01,+1.382100E+01,+3.501000E+01,+2.472000E+01,+1.862900E+01
+5.494266E-03,+3.129863E+00,+2.661400E+01,+1.618100E+01,+1.381500E+01,+3.502800E+01,+2.470400E+01,+1.861400E+01
+3.660122E-03,+3.139137E+00,+2.661400E+01,+1.617200E+01,+1.380500E+01,+3.504300E+01,+2.469100E+01,+1.860700E+01
+3.154800E-03,+3.131736E+00,+2.663100E+01,+1.615000E+01,+1.378800E+01,+3.505900E+01,+2.467700E+01,+1.858600E+01
+2.247097E-03,+3.138622E+00,+2.661800E+01,+1.613300E+01,+1.378000E+01,+3.507300E+01,+2.466000E+01,+1.857700E+01
-2.982342E-04,+3.130846E+00,+2.662700E+01,+1.611900E+01,+1.376400E+01,+3.508400E+01,+2.465000E+01,+1.856600E+01
+2.981687E-03,+3.128551E+00,+2.662100E+01,+1.609900E+01,+1.375100E+01,+3.510100E+01,+2.463300E+01,+1.855400E+01
+6.139948E-03,+3.133048E+00,+2.662700E+01,+1.609000E+01,+1.374000E+01,+3.510800E+01,+2.462300E+01,+1.854800E+01
-4.219174E-03,+3.188224E+00,+2.663400E+01,+1.607100E+01,+1.372600E+01,+3.512400E+01,+2.461000E+01,+1.853600E+01
-3.442481E-03,+3.208224E+00,+2.663200E+01,+1.604700E+01,+1.371500E+01,+3.513200E+01,+2.459600E+01,+1.852400E+01
+1.999110E-03,+3.186678E+00,+2.662400E+01,+1.604000E+01,+1.370100E+01,+3.514100E+01,+2.457700E+01,+1.851400E+01
-2.020068E-03,+3.188833E+00,+2.663500E+01,+1.602100E+01,+1.368700E+01,+3.514900E+01,+2.456500E+01,+1.851000E+01
-1.772100E-03,+3.193657E+00,+2.663300E+01,+1.600800E+01,+1.368600E+01,+3.516200E+01,+2.455000E+01,+1.851100E+01
-2.960561E-03,+3.198107E+00,+2.664200E+01,+1.599700E+01,+1.367600E+01,+3.517500E+01,+2.453500E+01,+1.852500E+01
-5.477805E-03,+3.197685E+00,+2.664400E+01,+1.598600E+01,+1.367800E+01,+3.518000E+01,+2.452100E+01,+1.856300E+01
-2.866950E-03,+3.190566E+00,+2.664700E+01,+1.598400E+01,+1.369000E+01,+3.519200E+01,+2.450300E+01,+1.861000E+01
-2.085573E-03,+3.194126E+00,+2.665700E+01,+1.598500E+01,+1.371600E+01,+3.520300E+01,+2.449200E+01,+1.867300E+01
-4.836807E-03,+3.183961E+00,+2.665600E+01,+1.598200E+01,+1.374300E+01,+3.521500E+01,+2.448100E+01,+1.874000E+01
+5.065454E-04,+3.184570E+00,+2.665900E+01,+1.598900E+01,+1.378200E+01,+3.522300E+01,+2.446900E+01,+1.881100E+01
-5.795981E-03,+3.183493E+00,+2.666800E+01,+1.599400E+01,+1.382000E+01,+3.523000E+01,+2.445600E+01,+1.888600E+01
-6.207712E-03,+3.187474E+00,+2.666800E+01,+1.601000E+01,+1.386100E+01,+3.523500E+01,+2.444200E+01,+1.895600E+01
-7.297914E-03,+3.194922E+00,+2.666700E+01,+1.601700E+01,+1.391300E+01,+3.524300E+01,+2.442900E+01,+1.902700E+01
-8.252405E-03,+3.186819E+00,+2.668300E+01,+1.603900E+01,+1.396500E+01,+3.524800E+01,+2.441600E+01,+1.910500E+01
-4.152106E-04,+3.182650E+00,+2.668400E+01,+1.605000E+01,+1.401500E+01,+3.525300E+01,+2.439900E+01,+1.917900E+01
-2.455220E-03,+3.190425E+00,+2.668700E+01,+1.607400E+01,+1.406600E+01,+3.525900E+01,+2.438900E+01,+1.925000E+01
-6.376158E-03,+3.191174E+00,+2.669100E+01,+1.609400E+01,+1.411900E+01,+3.526600E+01,+2.437500E+01,+1.932200E+01
-8.341293E-03,+3.190285E+00,+2.669900E+01,+1.611900E+01,+1.417400E+01,+3.527100E+01,+2.436300E+01,+1.939400E+01
-5.515242E-03,+3.183680E+00,+2.669800E+01,+1.614100E+01,+1.422400E+01,+3.527600E+01,+2.435200E+01,+1.946100E+01
-2.258705E-03,+3.189254E+00,+2.671000E+01,+1.617000E+01,+1.427600E+01,+3.527800E+01,+2.434100E+01,+1.951600E+01
-3.760657E-03,+3.180027E+00,+2.671200E+01,+1.619600E+01,+1.433400E+01,+3.528600E+01,+2.432500E+01,+1.957400E+01
-3.601559E-03,+3.189769E+00,+2.671500E+01,+1.622500E+01,+1.438200E+01,+3.529400E+01,+2.431600E+01,+1.962000E+01
-3.844861E-03,+3.183961E+00,+2.671000E+01,+1.624500E+01,+1.442300E+01,+3.529400E+01,+2.430800E+01,+1.966300E+01
-6.170293E-03,+3.196983E+00,+2.671300E+01,+1.626900E+01,+1.447100E+01,+3.530100E+01,+2.429300E+01,+1.970300E+01
-9.628012E-03,+3.188973E+00,+2.672200E+01,+1.629400E+01,+1.451700E+01,+3.530900E+01,+2.428300E+01,+1.973700E+01
-1.013800E-02,+3.194828E+00,+2.672500E+01,+1.631600E+01,+1.454900E+01,+3.531300E+01,+2.427200E+01,+1.977600E+01
-5.711757E-03,+3.175999E+00,+2.672700E+01,+1.633900E+01,+1.458000E+01,+3.531900E+01,+2.426000E+01,+1.980600E+01
-8.065239E-03,+3.199371E+00,+2.672800E+01,+1.635600E+01,+1.461100E+01,+3.532000E+01,+2.425200E+01,+1.983600E+01
-7.770484E-03,+3.178060E+00,+2.672200E+01,+1.637300E+01,+1.463700E+01,+3.532300E+01,+2.424300E+01,+1.985800E+01
-4.663675E-03,+3.180168E+00,+2.673500E+01,+1.639400E+01,+1.466300E+01,+3.532700E+01,+2.422900E+01,+1.988600E+01
-9.094602E-03,+3.193095E+00,+2.673100E+01,+1.641400E+01,+1.468400E+01,+3.532500E+01,+2.422100E+01,+1.990800E+01
-1.200490E-02,+3.185882E+00,+2.672900E+01,+1.643200E+01,+1.470900E+01,+3.532900E+01,+2.420700E+01,+1.992100E+01
-5.969094E-03,+3.183259E+00,+2.674100E+01,+1.645300E+01,+1.473900E+01,+3.533700E+01,+2.419400E+01,+1.993500E+01
-6.853412E-03,+3.177263E+00,+2.673600E+01,+1.647000E+01,+1.475100E+01,+3.533800E+01,+2.418400E+01,+1.994800E+01
-1.157911E-02,+3.187755E+00,+2.674700E+01,+1.648300E+01,+1.477000E+01,+3.534100E+01,+2.417400E+01,+1.995800E+01
-1.083049E-02,+3.182181E+00,+2.674500E+01,+1.649900E+01,+1.478300E+01,+3.534500E+01,+2.416200E+01,+1.996100E+01
-1.063866E-02,+3.185741E+00,+2.675300E+01,+1.651400E+01,+1.480000E+01,+3.534600E+01,+2.415100E+01,+1.996500E+01
-6.642863E-03,+3.177498E+00,+2.674300E+01,+1.652300E+01,+1.480600E+01,+3.534600E+01,+2.413700E+01,+1.997400E+01
-1.029241E-02,+3.191549E+00,+2.674100E+01,+1.653300E+01,+1.481800E+01,+3.534700E+01,+2.412800E+01,+1.997600E+01
-9.511036E-03,+3.174313E+00,+2.674300E+01,+1.653900E+01,+1.482300E+01,+3.534600E+01,+2.411900E+01,+1.997200E+01
-7.583319E-03,+3.174875E+00,+2.674200E+01,+1.655000E+01,+1.483000E+01,+3.535200E+01,+2.410700E+01,+1.997200E+01
-1.267865E-02,+3.179886E+00,+2.674200E+01,+1.655200E+01,+1.483400E+01,+3.534900E+01,+2.409900E+01,+1.996900E+01
-1.545793E-02,+3.191737E+00,+2.675000E+01,+1.655400E+01,+1.482900E+01,+3.535200E+01,+2.409400E+01,+1.997200E+01
-1.216866E-02,+3.177217E+00,+2.674200E+01,+1.656200E+01,+1.483500E+01,+3.535200E+01,+2.408100E+01,+1.997000E+01
-1.436775E-02,+3.177404E+00,+2.675100E+01,+1.656600E+01,+1.483400E+01,+3.535300E+01,+2.407500E+01,+1.996600E+01
-9.005713E-03,+3.196280E+00,+2.674600E+01,+1.657500E+01,+1.482700E+01,+3.534700E+01,+2.406500E+01,+1.996500E+01
-8.388099E-03,+3.180402E+00,+2.674800E+01,+1.657400E+01,+1.482700E+01,+3.535200E+01,+2.405800E+01,+1.995800E+01
-1.265058E-02,+3.190519E+00,+2.675200E+01,+1.657600E+01,+1.482600E+01,+3.534700E+01,+2.405000E+01,+1.995300E+01
-9.071218E-03,+3.184711E+00,+2.675100E+01,+1.658100E+01,+1.482100E+01,+3.534900E+01,+2.403800E+01,+1.994800E+01
-1.071351E-02,+3.193048E+00,+2.675700E+01,+1.657900E+01,+1.482200E+01,+3.534300E+01,+2.403400E+01,+1.994300E+01
-1.223416E-02,+3.183634E+00,+2.675700E+01,+1.658000E+01,+1.481600E+01,+3.534800E+01,+2.402700E+01,+1.993900E+01
-1.078370E-02,+3.187755E+00,+2.675700E+01,+1.658000E+01,+1.481500E+01,+3.534300E+01,+2.402000E+01,+1.992900E+01
-1.477481E-02,+3.195343E+00,+2.675100E+01,+1.657700E+01,+1.481200E+01,+3.534500E+01,+2.401800E+01,+1.992500E+01
-1.398407E-02,+3.193891E+00,+2.674900E+01,+1.657400E+01,+1.480600E+01,+3.534100E+01,+2.400800E+01,+1.991700E+01
-1.201893E-02,+3.180168E+00,+2.674700E+01,+1.657900E+01,+1.480500E+01,+3.533700E+01,+2.400400E+01,+1.990800E+01
-1.268802E-02,+3.192955E+00,+2.674400E+01,+1.657000E+01,+1.479600E+01,+3.533500E+01,+2.399800E+01,+1.990300E+01
-9.066534E-03,+3.185226E+00,+2.675000E+01,+1.656700E+01,+1.478800E+01,+3.533400E+01,+2.399700E+01,+1.990000E+01
-1.321672E-02,+3.190987E+00,+2.674100E+01,+1.656300E+01,+1.478200E+01,+3.533000E+01,+2.399200E+01,+1.989600E+01
-1.495729E-02,+3.187615E+00,+2.675000E+01,+1.655800E+01,+1.477500E+01,+3.532900E+01,+2.399100E+01,+1.988900E+01
-1.444729E-02,+3.183680E+00,+2.673900E+01,+1.655100E+01,+1.476700E+01,+3.532900E+01,+2.398300E+01,+1.988000E+01
-1.309508E-02,+3.183961E+00,+2.674500E+01,+1.654800E+01,+1.475400E+01,+3.532000E+01,+2.398100E+01,+1.987900E+01
-8.757727E-03,+3.179324E+00,+2.675300E+01,+1.654900E+01,+1.475500E+01,+3.532000E+01,+2.398000E+01,+1.987000E+01
-1.592113E-02,+3.191784E+00,+2.675600E+01,+1.654800E+01,+1.474900E+01,+3.532100E+01,+2.397500E+01,+1.986100E+01
-1.332435E-02,+3.192767E+00,+2.675400E+01,+1.654900E+01,+1.474900E+01,+3.531800E+01,+2.397700E+01,+1.985300E+01
-1.251022E-02,+3.179605E+00,+2.675000E+01,+1.653800E+01,+1.473400E+01,+3.532000E+01,+2.397400E+01,+1.984500E+01
-1.591178E-02,+3.192673E+00,+2.675600E+01,+1.653600E+01,+1.473200E+01,+3.531400E+01,+2.397400E+01,+1.984600E+01
-1.853197E-02,+3.191784E+00,+2.675000E+01,+1.653400E+01,+1.472800E+01,+3.531000E+01,+2.397700E+01,+1.983500E+01
-1.795648E-02,+3.202931E+00,+2.674900E+01,+1.653200E+01,+1.472500E+01,+3.531000E+01,+2.397200E+01,+1.982900E+01
-1.238387E-02,+3.191971E+00,+2.674700E+01,+1.652300E+01,+1.472300E+01,+3.530900E+01,+2.397500E+01,+1.981300E+01
-1.680545E-02,+3.188973E+00,+2.674000E+01,+1.651800E+01,+1.470700E+01,+3.530700E+01,+2.397300E+01,+1.980800E+01
-1.106442E-02,+3.183915E+00,+2.674000E+01,+1.650900E+01,+1.470000E+01,+3.530600E+01,+2.397200E+01,+1.980200E+01
-1.109251E-02,+3.191034E+00,+2.673400E+01,+1.650200E+01,+1.469300E+01,+3.530700E+01,+2.397200E+01,+1.979600E+01
-1.634225E-02,+3.191596E+00,+2.673400E+01,+1.649500E+01,+1.468700E+01,+3.530100E+01,+2.397400E+01,+1.978700E+01
-1.540177E-02,+3.176186E+00,+2.672700E+01,+1.648700E+01,+1.467200E+01,+3.530100E+01,+2.397300E+01,+1.978500E+01
-1.806408E-02,+3.186678E+00,+2.672200E+01,+1.648100E+01,+1.466800E+01,+3.530500E+01,+2.397200E+01,+1.977500E+01
-1.647326E-02,+3.176420E+00,+2.673100E+01,+1.647300E+01,+1.466000E+01,+3.530300E+01,+2.397200E+01,+1.977200E+01
-1.514444E-02,+3.184992E+00,+2.671900E+01,+1.646900E+01,+1.464600E+01,+3.529900E+01,+2.397100E+01,+1.977100E+01
-1.268802E-02,+3.187146E+00,+2.672800E+01,+1.646700E+01,+1.465200E+01,+3.530100E+01,+2.396900E+01,+1.976500E+01
